Entity,Code,Day,"Birth rate per day, on a monthly basis"
Australia,AUS,1962-01-31,59.82727
Australia,AUS,1962-02-28,61.668243
Australia,AUS,1962-03-31,62.976868
Australia,AUS,1962-04-30,61.529507
Australia,AUS,1962-05-31,61.744854
Australia,AUS,1962-06-30,60.658997
Australia,AUS,1962-07-31,60.6048
Australia,AUS,1962-08-31,60.14717
Australia,AUS,1962-09-30,62.52134
Australia,AUS,1962-10-31,60.26428
Australia,AUS,1962-11-30,57.893856
Australia,AUS,1962-12-31,57.697212
Australia,AUS,1963-01-31,59.327175
Australia,AUS,1963-02-28,60.510933
Australia,AUS,1963-03-31,61.20099
Australia,AUS,1963-04-30,58.895103
Australia,AUS,1963-05-31,57.53125
Australia,AUS,1963-06-30,57.92759
Australia,AUS,1963-07-31,59.37216
Australia,AUS,1963-08-31,58.29399
Australia,AUS,1963-09-30,61.67391
Australia,AUS,1963-10-31,58.917976
Australia,AUS,1963-11-30,55.6179
Australia,AUS,1963-12-31,55.153137
Australia,AUS,1964-01-31,55.790558
Australia,AUS,1964-02-29,55.767902
Australia,AUS,1964-03-31,57.644035
Australia,AUS,1964-04-30,57.431133
Australia,AUS,1964-05-31,55.964737
Australia,AUS,1964-06-30,57.346237
Australia,AUS,1964-07-31,55.956802
Australia,AUS,1964-08-31,54.731956
Australia,AUS,1964-09-30,57.4975
Australia,AUS,1964-10-31,55.411495
Australia,AUS,1964-11-30,53.596046
Australia,AUS,1964-12-31,53.976795
Australia,AUS,1965-01-31,52.67602
Australia,AUS,1965-02-28,54.591442
Australia,AUS,1965-03-31,53.862625
Australia,AUS,1965-04-30,52.557003
Australia,AUS,1965-05-31,54.64477
Australia,AUS,1965-06-30,53.6804
Australia,AUS,1965-07-31,53.90222
Australia,AUS,1965-08-31,54.26141
Australia,AUS,1965-09-30,56.87274
Australia,AUS,1965-10-31,54.651173
Australia,AUS,1965-11-30,52.201878
Australia,AUS,1965-12-31,51.17046
Australia,AUS,1966-01-31,52.12701
Australia,AUS,1966-02-28,51.78673
Australia,AUS,1966-03-31,53.985718
Australia,AUS,1966-04-30,51.95741
Australia,AUS,1966-05-31,51.720165
Australia,AUS,1966-06-30,52.16996
Australia,AUS,1966-07-31,52.780594
Australia,AUS,1966-08-31,52.655396
Australia,AUS,1966-09-30,54.714367
Australia,AUS,1966-10-31,54.67946
Australia,AUS,1966-11-30,53.542236
Australia,AUS,1966-12-31,51.217556
Australia,AUS,1967-01-31,53.16245
Australia,AUS,1967-02-28,53.96562
Australia,AUS,1967-03-31,54.133774
Australia,AUS,1967-04-30,52.483353
Australia,AUS,1967-05-31,53.310642
Australia,AUS,1967-06-30,52.901875
Australia,AUS,1967-07-31,53.563004
Australia,AUS,1967-08-31,53.04359
Australia,AUS,1967-09-30,55.26717
Australia,AUS,1967-10-31,54.206688
Australia,AUS,1967-11-30,51.678646
Australia,AUS,1967-12-31,51.458168
Australia,AUS,1968-01-31,51.213593
Australia,AUS,1968-02-29,53.43757
